POINTID,GRID_CODE,seg_ID,seg_num,acres
"29","29",metw_29,"10029",2237.73691349000
"30","30",metw_30,"10030",2057.59709040000
"33","35",metw_35,"10035",2968.30397380000
"36","36",metw_36,"10036",3144.44068971000
"42","43",metw_43,"10043",4739.67890085000
"43","44",metw_44,"10044",4421.43188005000
"46","48",metw_48,"10048",2411.87207581000
"50","51",metw_51,"10051",5468.24440756000
"52","53",metw_53,"10053",3672.85083744000
"60","61",metw_61,"10061",3208.49040458000
"63","70",metw_70,"10070",2569.99480941000
"64","64",metw_64,"10064",2786.16259712000
"74","73",metw_73,"10073",4319.35264697000
"76","77",metw_77,"10077",2235.73535990000
"77","79",metw_79,"10079",6481.03052404000
"82","86",metw_86,"10086",7145.54631589000
"84","88",metw_88,"10088",7365.71721077000
"85","89",metw_89,"10089",3004.33193842000
"87","92",metw_92,"10092",6378.95129096000
"89","94",metw_94,"10094",10730.32879540000
"91","96",metw_96,"10096",7725.99685695000
"93","101",metw_101,"10101",12705.86218860000
"95","103",metw_103,"10103",8004.21280595000
"96","105",metw_105,"10105",9163.11233449000
"98","99",metw_99,"10099",11190.68612100000
"99","100",metw_100,"10100",12125.41164750000
"100","102",metw_102,"10102",12930.03619070000
"101","104",metw_104,"10104",21110.38571250000
"102","106",metw_106,"10106",22305.31320570000
"103","107",metw_107,"10107",11098.61465590000
"106","113",metw_113,"10113",10816.39559970000
"111","110",metw_110,"10110",33435.95271900000
"113","112",metw_112,"10112",10139.87048640000
"114","117",metw_117,"10117",10394.06779230000
"115","118",metw_118,"10118",10548.18741870000
"117","116",metw_116,"10116",10506.15479330000
"122","124",metw_124,"10124",33754.19973980000
"156","161",metw_161,"10161",34744.96876680000
"157","159",metw_159,"10159",2053.59398322000
"167","172",metw_172,"10172",34873.06819650000
"168","174",metw_174,"10174",3945.06212566000
"171","177",metw_177,"10177",35225.34162840000
"173","179",metw_179,"10179",2958.29620585000
"179","187",metw_187,"10187",35591.62593530000
"180","188",metw_188,"10188",3312.57119126000
"182","190",metw_190,"10190",4185.24855645000
"184","193",metw_193,"10193",2872.22940148000
"189","195",metw_195,"10195",35735.73779380000
"190","196",metw_196,"10196",3578.77781871000
"194","202",metw_202,"10202",3240.51526202000
"196","205",metw_205,"10205",5300.11390601000
"198","226",metw_226,"10226",8112.29669980000
"202","208",metw_208,"10208",2195.70428810000
"226","284",metw_284,"10284",6384.95595173000
"229","239",metw_239,"10239",39828.91488510000
"232","240",metw_240,"10240",3616.80733692000
"235","245",metw_245,"10245",4171.23768132000
"237","247",metw_247,"10247",43511.77349050000
"238","241",metw_241,"10241",14164.99475560000
"239","242",metw_242,"10242",14203.02427380000
"247","253",metw_253,"10253",2505.94509453000
"254","258",metw_258,"10258",14843.52142260000
"261","268",metw_268,"10268",6923.37386741000
"264","264",metw_264,"10264",15526.05119670000
"265","265",metw_265,"10265",15812.27336010000
"267","276",metw_276,"10276",43898.07333330000
"270","274",metw_274,"10274",16032.44425500000
"278","279",metw_279,"10279",16194.57009580000
"287","365",metw_365,"10365",3166.45777920000
"288","295",metw_295,"10295",19423.07603620000
"290","297",metw_297,"10297",7363.71565718000
